avatar,handle,followers
http://pbs.twimg.com/profile_images/1326270035338399746/50buDmf-_200x200.jpg,Fenerbahce,8.2M
http://pbs.twimg.com/profile_images/790576698085416960/BkIjtFXR_200x200.jpg,msdhoni,8.2M
http://pbs.twimg.com/profile_images/1243465670454632449/Gm06laC1_200x200.jpg,DUALIPA,8.2M
http://pbs.twimg.com/profile_images/1348679779877154817/o8Zwf2dp_200x200.jpg,anirudhofficial,8.1M
http://pbs.twimg.com/profile_images/1403094772340858881/08zqd7t4_200x200.jpg,IGN,8.1M
http://pbs.twimg.com/profile_images/1377928043369533441/FOtLgJWN_200x200.jpg,samsmith,8.1M
http://pbs.twimg.com/profile_images/1332237273044234241/dlgd42qv_200x200.png,FIFAWorldCup,8.1M
http://pbs.twimg.com/profile_images/1386711841410359298/Dqme1G0m_200x200.jpg,GameOfThrones,8M
http://pbs.twimg.com/profile_images/1182076186719068162/94J_g-X2_200x200.jpg,lopezobrador_,8M
http://pbs.twimg.com/profile_images/1081978018036355072/qV5O5DvB_200x200.jpg,acmilan,7.8M
http://pbs.twimg.com/profile_images/1282230048716492803/fduUXbCR_200x200.jpg,SonuSood,7.8M
http://pbs.twimg.com/profile_images/1224293961470070784/XYD_CGEV_200x200.jpg,shrutihaasan,7.8M
http://pbs.twimg.com/profile_images/869446110246428673/3vewgMjz_200x200.jpg,ygent_official,7.7M
http://pbs.twimg.com/profile_images/1311289233156591617/D7j6mUXd_200x200.jpg,Ibra_official,7.5M
http://pbs.twimg.com/profile_images/1326475596151418882/aGV_llPx_200x200.jpg,ABSCBNNews,7.4M
http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_200x200.jpg,business,7.4M
http://pbs.twimg.com/profile_images/1265911518115160064/3awhurkz_200x200.jpg,iansomerhalder,7.2M
http://pbs.twimg.com/profile_images/3460469575/585e49a18c126bf5bb2f49ecfe117526_200x200.jpeg,adgpi,7.2M
http://pbs.twimg.com/profile_images/969916077370036224/yNk5Rx66_200x200.jpg,ChennaiIPL,7.1M
